code,name,cityCode,provinceCode,en
110101,"东城区",1101,11,"Dong Cheng District"
110102,"西城区",1101,11,"Xi Cheng District"
110105,"朝阳区",1101,11,"Zhao Yang District"
110106,"丰台区",1101,11,"Feng Tai District"
110107,"石景山区",1101,11,"Shi Jing Shan District"
110108,"海淀区",1101,11,"Hai Dian District"
110109,"门头沟区",1101,11,"Men Tou Gou District"
110111,"房山区",1101,11,"Fang Shan District"
110112,"通州区",1101,11,"Tong Zhou District"
110113,"顺义区",1101,11,"Shun Yi District"
110114,"昌平区",1101,11,"Chang Ping District"
110115,"大兴区",1101,11,"Da Xing District"
110116,"怀柔区",1101,11,"Huai Rou District"
110117,"平谷区",1101,11,"Ping Gu District"
110118,"密云区",1101,11,"Mi Yun District"
110119,"延庆区",1101,11,"Yan Qing District"
120101,"和平区",1201,12,"He Ping District"
120102,"河东区",1201,12,"He Dong District"
120103,"河西区",1201,12,"He Xi District"
120104,"南开区",1201,12,"Nan Kai District"
120105,"河北区",1201,12,"He Bei District"
120106,"红桥区",1201,12,"Hong Qiao District"
120110,"东丽区",1201,12,"Dong Li District"
120111,"西青区",1201,12,"Xi Qing District"
120112,"津南区",1201,12,"Jin Nan District"
120113,"北辰区",1201,12,"Bei Chen District"
120114,"武清区",1201,12,"Wu Qing District"
120115,"宝坻区",1201,12,"Bao Chi District"
120116,"滨海新区",1201,12,"Bin Hai Xin District"
120117,"宁河区",1201,12,"Ning He District"
120118,"静海区",1201,12,"Jing Hai District"
120119,"蓟州区",1201,12,"Ji Zhou District"
130102,"长安区",1301,13,"Chang An District"
130104,"桥西区",1301,13,"Qiao Xi District"
130105,"新华区",1301,13,"Xin Hua District"
130107,"井陉矿区",1301,13,"Jing Xing Kuang District"
130108,"裕华区",1301,13,"Yu Hua District"
130109,"藁城区",1301,13,"Gao Cheng District"
130110,"鹿泉区",1301,13,"Lu Quan District"
130111,"栾城区",1301,13,"Luan Cheng District"
130121,"井陉县",1301,13,"Jing Xing County"
130123,"正定县",1301,13,"Zheng Ding County"
130125,"行唐县",1301,13,"Xing Tang County"
130126,"灵寿县",1301,13,"Ling Shou County"
130127,"高邑县",1301,13,"Gao Yi County"
130128,"深泽县",1301,13,"Shen Ze County"
130129,"赞皇县",1301,13,"Zan Huang County"
130130,"无极县",1301,13,"Wu Ji County"
130131,"平山县",1301,13,"Ping Shan County"
130132,"元氏县",1301,13,"Yuan Shi County"
130133,"赵县",1301,13,"Zhao County"
130183,"晋州市",1301,13,"Jin Zhou City"
130184,"新乐市",1301,13,"Xin Le City"
130202,"路南区",1302,13,"Lu Nan District"
130203,"路北区",1302,13,"Lu Bei District"
130204,"古冶区",1302,13,"Gu Ye District"
130205,"开平区",1302,13,"Kai Ping District"
130207,"丰南区",1302,13,"Feng Nan District"
130208,"丰润区",1302,13,"Feng Run District"
130209,"曹妃甸区",1302,13,"Cao Fei Dian District"
130223,"滦县",1302,13,"Luan County"
130224,"滦南县",1302,13,"Luan Nan County"
130225,"乐亭县",1302,13,"Le Ting County"
130227,"迁西县",1302,13,"Qian Xi County"
130229,"玉田县",1302,13,"Yu Tian County"
130281,"遵化市",1302,13,"Zun Hua City"
130283,"迁安市",1302,13,"Qian An City"
130302,"海港区",1303,13,"Hai Gang District"
130303,"山海关区",1303,13,"Shan Hai Guan District"
130304,"北戴河区",1303,13,"Bei Dai He District"
130306,"抚宁区",1303,13,"Fu Ning District"
130321,"青龙满族自治县",1303,13,"Qing Long Man Zu Autonomous County"
130322,"昌黎县",1303,13,"Chang Li County"
130324,"卢龙县",1303,13,"Lu Long County"
130402,"邯山区",1304,13,"Han Shan District"
130403,"丛台区",1304,13,"Cong Tai District"
130404,"复兴区",1304,13,"Fu Xing District"
130406,"峰峰矿区",1304,13,"Feng Feng Kuang District"
130421,"邯郸县",1304,13,"Han Dan County"
130423,"临漳县",1304,13,"Lin Zhang County"
130424,"成安县",1304,13,"Cheng An County"
130425,"大名县",1304,13,"Da Ming County"
130426,"涉县",1304,13,"She County"
130427,"磁县",1304,13,"Ci County"
130428,"肥乡县",1304,13,"Fei Xiang County"
130429,"永年县",1304,13,"Yong Nian County"
130430,"邱县",1304,13,"Qiu County"
130431,"鸡泽县",1304,13,"Ji Ze County"
130432,"广平县",1304,13,"Guang Ping County"
130433,"馆陶县",1304,13,"Guan Tao County"
130434,"魏县",1304,13,"Wei County"
130435,"曲周县",1304,13,"Qu Zhou County"
130481,"武安市",1304,13,"Wu An City"
130502,"桥东区",1305,13,"Qiao Dong District"
130503,"桥西区",1305,13,"Qiao Xi District"
130521,"邢台县",1305,13,"Xing Tai County"
130522,"临城县",1305,13,"Lin Cheng County"
130523,"内丘县",1305,13,"Nei Qiu County"
130524,"柏乡县",1305,13,"Bo Xiang County"
130525,"隆尧县",1305,13,"Long Yao County"
130526,"任县",1305,13,"Ren County"
130527,"南和县",1305,13,"Nan He County"
130528,"宁晋县",1305,13,"Ning Jin County"
130529,"巨鹿县",1305,13,"Ju Lu County"
130530,"新河县",1305,13,"Xin He County"
130531,"广宗县",1305,13,"Guang Zong County"
130532,"平乡县",1305,13,"Ping Xiang County"
130533,"威县",1305,13,"Wei County"
130534,"清河县",1305,13,"Qing He County"
130535,"临西县",1305,13,"Lin Xi County"
130581,"南宫市",1305,13,"Nan Gong City"
130582,"沙河市",1305,13,"Sha He City"
130602,"竞秀区",1306,13,"Xin Shi District"
130606,"莲池区",1306,13,"Lian Chi District"
130607,"满城区",1306,13,"Man Cheng District"
130608,"清苑区",1306,13,"Qing Yuan District"
130609,"徐水区",1306,13,"Xu Shui District"
130623,"涞水县",1306,13,"Lai Shui County"
130624,"阜平县",1306,13,"Fu Ping County"
130626,"定兴县",1306,13,"Ding Xing County"
130627,"唐县",1306,13,"Tang County"
130628,"高阳县",1306,13,"Gao Yang County"
130629,"容城县",1306,13,"Rong Cheng County"
130630,"涞源县",1306,13,"Lai Yuan County"
130631,"望都县",1306,13,"Wang Du County"
130632,"安新县",1306,13,"An Xin County"
130633,"易县",1306,13,"Yi County"
130634,"曲阳县",1306,13,"Qu Yang County"
130635,"蠡县",1306,13,"Li County"
130636,"顺平县",1306,13,"Shun Ping County"
130637,"博野县",1306,13,"Bo Ye County"
130638,"雄县",1306,13,"Xiong County"
130681,"涿州市",1306,13,"Zhuo Zhou City"
130683,"安国市",1306,13,"An Guo City"
130684,"高碑店市",1306,13,"Gao Bei Dian City"
130702,"桥东区",1307,13,"Qiao Dong District"
130703,"桥西区",1307,13,"Qiao Xi District"
130705,"宣化区",1307,13,"Xuan Hua District"
130706,"下花园区",1307,13,"Xia Hua Yuan District"
130708,"万全区",1307,13,"Wan Quan District"
130709,"崇礼区",1307,13,"Chong Li District"
130722,"张北县",1307,13,"Zhang Bei County"
130723,"康保县",1307,13,"Kang Bao County"
130724,"沽源县",1307,13,"Gu Yuan County"
130725,"尚义县",1307,13,"Shang Yi County"
130726,"蔚县",1307,13,"Wei County"
130727,"阳原县",1307,13,"Yang Yuan County"
130728,"怀安县",1307,13,"Huai An County"
130730,"怀来县",1307,13,"Huai Lai County"
130731,"涿鹿县",1307,13,"Zhuo Lu County"
130732,"赤城县",1307,13,"Chi Cheng County"
130802,"双桥区",1308,13,"Shuang Qiao District"
130803,"双滦区",1308,13,"Shuang Luan District"
130804,"鹰手营子矿区",1308,13,"Ying Shou Ying Zi Kuang District"
130821,"承德县",1308,13,"Cheng De County"
130822,"兴隆县",1308,13,"Xing Long County"
130823,"平泉县",1308,13,"Ping Quan County"
130824,"滦平县",1308,13,"Luan Ping County"
130825,"隆化县",1308,13,"Long Hua County"
130826,"丰宁满族自治县",1308,13,"Feng Ning Man Zu Autonomous County"
130827,"宽城满族自治县",1308,13,"Kuan Cheng Man Zu Autonomous County"
130828,"围场满族蒙古族自治县",1308,13,"Wei Chang Man Zu Meng Gu Zu Autonomous County"
130902,"新华区",1309,13,"Xin Hua District"
130903,"运河区",1309,13,"Yun He District"
130921,"沧县",1309,13,"Cang County"
130922,"青县",1309,13,"Qing County"
130923,"东光县",1309,13,"Dong Guang County"
130924,"海兴县",1309,13,"Hai Xing County"
130925,"盐山县",1309,13,"Yan Shan County"
130926,"肃宁县",1309,13,"Su Ning County"
130927,"南皮县",1309,13,"Nan Pi County"
130928,"吴桥县",1309,13,"Wu Qiao County"
130929,"献县",1309,13,"Xian County"
130930,"孟村回族自治县",1309,13,"Meng Cun Hui Zu Autonomous County"
130981,"泊头市",1309,13,"Bo Tou City"
130982,"任丘市",1309,13,"Ren Qiu City"
130983,"黄骅市",1309,13,"Huang Hua City"
130984,"河间市",1309,13,"He Jian City"
131002,"安次区",1310,13,"An Ci District"
131003,"广阳区",1310,13,"Guang Yang District"
131022,"固安县",1310,13,"Gu An County"
131023,"永清县",1310,13,"Yong Qing County"
131024,"香河县",1310,13,"Xiang He County"
131025,"大城县",1310,13,"Da Cheng County"
131026,"文安县",1310,13,"Wen An County"
131028,"大厂回族自治县",1310,13,"Da Han Hui Zu Autonomous County"
131081,"霸州市",1310,13,"Ba Zhou City"
131082,"三河市",1310,13,"San He City"
131102,"桃城区",1311,13,"Tao Cheng District"
131103,"冀州区",1311,13,"Ji Zhou District"
131121,"枣强县",1311,13,"Zao Qiang County"
131122,"武邑县",1311,13,"Wu Yi County"
131123,"武强县",1311,13,"Wu Qiang County"
131124,"饶阳县",1311,13,"Rao Yang County"
131125,"安平县",1311,13,"An Ping County"
131126,"故城县",1311,13,"Gu Cheng County"
131127,"景县",1311,13,"Jing County"
131128,"阜城县",1311,13,"Fu Cheng County"
131182,"深州市",1311,13,"Shen Zhou City"
139001,"定州市",1390,13,"Ding Zhou City"
139002,"辛集市",1390,13,"Xin Ji City"
140105,"小店区",1401,14,"Xiao Dian District"
140106,"迎泽区",1401,14,"Ying Ze District"
140107,"杏花岭区",1401,14,"Xing Hua Ling District"
140108,"尖草坪区",1401,14,"Jian Cao Ping District"
140109,"万柏林区",1401,14,"Wan Bo Lin District"
140110,"晋源区",1401,14,"Jin Yuan District"
140121,"清徐县",1401,14,"Qing Xu County"
140122,"阳曲县",1401,14,"Yang Qu County"
140123,"娄烦县",1401,14,"Lou Fan County"
140181,"古交市",1401,14,"Gu Jiao City"
140202,"城区",1402,14,"Cheng District"
140203,"矿区",1402,14,"Kuang District"
140211,"南郊区",1402,14,"Nan Jiao District"
140212,"新荣区",1402,14,"Xin Rong District"
140221,"阳高县",1402,14,"Yang Gao County"
140222,"天镇县",1402,14,"Tian Zhen County"
140223,"广灵县",1402,14,"Guang Ling County"
140224,"灵丘县",1402,14,"Ling Qiu County"
140225,"浑源县",1402,14,"Hun Yuan County"
140226,"左云县",1402,14,"Zuo Yun County"
140227,"大同县",1402,14,"Da Tong County"
140302,"城区",1403,14,"Cheng District"
140303,"矿区",1403,14,"Kuang District"
140311,"郊区",1403,14,"Jiao District"
140321,"平定县",1403,14,"Ping Ding County"
140322,"盂县",1403,14,"Yu County"
140402,"城区",1404,14,"Cheng District"
140411,"郊区",1404,14,"Jiao District"
140421,"长治县",1404,14,"Chang Zhi County"
140423,"襄垣县",1404,14,"Xiang Yuan County"
140424,"屯留县",1404,14,"Tun Liu County"
140425,"平顺县",1404,14,"Ping Shun County"
140426,"黎城县",1404,14,"Li Cheng County"
140430,"沁县",1404,14,"Qin County"
140429,"武乡县",1404,14,"Wu Xiang County"
140431,"沁源县",1404,14,"Qin Yuan County"
140502,"城区",1405,14,"Cheng District"
140481,"潞城市",1404,14,"Lu Cheng City"
140521,"沁水县",1405,14,"Qin Shui County"
140522,"阳城县",1405,14,"Yang Cheng County"
140524,"陵川县",1405,14,"Ling Chuan County"
140525,"泽州县",1405,14,"Ze Zhou County"
140581,"高平市",1405,14,"Gao Ping City"
140602,"朔城区",1406,14,"Shuo Cheng District"
140603,"平鲁区",1406,14,"Ping Lu District"
140621,"山阴县",1406,14,"Shan Yin County"
140622,"应县",1406,14,"Ying County"
140623,"右玉县",1406,14,"You Yu County"
140624,"怀仁县",1406,14,"Huai Ren County"
140702,"榆次区",1407,14,"Yu Ci District"
140721,"榆社县",1407,14,"Yu She County"
140722,"左权县",1407,14,"Zuo Quan County"
140723,"和顺县",1407,14,"He Shun County"
140724,"昔阳县",1407,14,"Xi Yang County"
140725,"寿阳县",1407,14,"Shou Yang County"
140726,"太谷县",1407,14,"Tai Gu County"
140727,"祁县",1407,14,"Qi County"
140728,"平遥县",1407,14,"Ping Yao County"
140729,"灵石县",1407,14,"Ling Shi County"
140781,"介休市",1407,14,"Jie Xiu City"
140802,"盐湖区",1408,14,"Yan Hu District"
140821,"临猗县",1408,14,"Lin Yi County"
140822,"万荣县",1408,14,"Wan Rong County"
140823,"闻喜县",1408,14,"Wen Xi County"
140824,"稷山县",1408,14,"Ji Shan County"
140825,"新绛县",1408,14,"Xin Jiang County"
140826,"绛县",1408,14,"Jiang County"
140828,"夏县",1408,14,"Xia County"
140827,"垣曲县",1408,14,"Yuan Qu County"
140829,"平陆县",1408,14,"Ping Lu County"
140830,"芮城县",1408,14,"Rui Cheng County"
140881,"永济市",1408,14,"Yong Ji City"
140882,"河津市",1408,14,"He Jin City"
140902,"忻府区",1409,14,"Xin Fu District"
140921,"定襄县",1409,14,"Ding Xiang County"
140922,"五台县",1409,14,"Wu Tai County"
140923,"代县",1409,14,"Dai County"
140924,"繁峙县",1409,14,"Fan Zhi County"
140925,"宁武县",1409,14,"Ning Wu County"
140926,"静乐县",1409,14,"Jing Le County"
140927,"神池县",1409,14,"Shen Chi County"
140928,"五寨县",1409,14,"Wu Zhai County"
140929,"岢岚县",1409,14,"Ke Lan County"
140930,"河曲县",1409,14,"He Qu County"
140931,"保德县",1409,14,"Bao De County"
140932,"偏关县",1409,14,"Pian Guan County"
140981,"原平市",1409,14,"Yuan Ping City"
141002,"尧都区",1410,14,"Yao Du District"
141021,"曲沃县",1410,14,"Qu Wo County"
141022,"翼城县",1410,14,"Yi Cheng County"
141023,"襄汾县",1410,14,"Xiang Fen County"
141024,"洪洞县",1410,14,"Hong Dong County"
141025,"古县",1410,14,"Gu County"
141026,"安泽县",1410,14,"An Ze County"
141027,"浮山县",1410,14,"Fu Shan County"
141028,"吉县",1410,14,"Ji County"
141030,"大宁县",1410,14,"Da Ning County"
141029,"乡宁县",1410,14,"Xiang Ning County"
141031,"隰县",1410,14,"Xi County"
141032,"永和县",1410,14,"Yong He County"
141033,"蒲县",1410,14,"Pu County"
141034,"汾西县",1410,14,"Fen Xi County"
141081,"侯马市",1410,14,"Hou Ma City"
141082,"霍州市",1410,14,"Huo Zhou City"
141102,"离石区",1411,14,"Chi Shi District"
141121,"文水县",1411,14,"Wen Shui County"
141122,"交城县",1411,14,"Jiao Cheng County"
141123,"兴县",1411,14,"Xing County"
141124,"临县",1411,14,"Lin County"
141125,"柳林县",1411,14,"Liu Lin County"
141126,"石楼县",1411,14,"Shi Lou County"
141127,"岚县",1411,14,"Lan County"
141128,"方山县",1411,14,"Fang Shan County"
141130,"交口县",1411,14,"Jiao Kou County"
141129,"中阳县",1411,14,"Zhong Yang County"
141181,"孝义市",1411,14,"Xiao Yi City"
141182,"汾阳市",1411,14,"Fen Yang City"
150102,"新城区",1501,15,"Xin Cheng District"
150103,"回民区",1501,15,"Hui Min District"
150104,"玉泉区",1501,15,"Yu Quan District"
150121,"土默特左旗",1501,15,"Tu Mo Te Zuo Qi"
150105,"赛罕区",1501,15,"Sai Han District"
150122,"托克托县",1501,15,"Tuo Ke Tuo County"
150123,"和林格尔县",1501,15,"He Lin Ge Er County"
150124,"清水河县",1501,15,"Qing Shui He County"
150125,"武川县",1501,15,"Wu Chuan County"
150202,"东河区",1502,15,"Dong He District"
150203,"昆都仑区",1502,15,"Kun Du Lun District"
150204,"青山区",1502,15,"Qing Shan District"
150205,"石拐区",1502,15,"Shi Guai District"
150206,"白云鄂博矿区",1502,15,"Bai Yun Kuang District"
150207,"九原区",1502,15,"Jiu Yuan District"
150221,"土默特右旗",1502,15,"Tu Mo Te You Qi"
150222,"固阳县",1502,15,"Gu Yang County"
150223,"达尔罕茂明安联合旗",1502,15,"Da Er Han Mao Ming An Lian He Qi"
150302,"海勃湾区",1503,15,"Hai Bo Wan District"
150303,"海南区",1503,15,"Hai Nan District"
150304,"乌达区",1503,15,"Wu Da District"
150402,"红山区",1504,15,"Hong Shan District"
150403,"元宝山区",1504,15,"Yuan Bao Shan District"
150404,"松山区",1504,15,"Song Shan District"
150421,"阿鲁科尔沁旗",1504,15,"A Lu Ke Er Qin Qi"
150422,"巴林左旗",1504,15,"Ba Lin Zuo Qi"
150423,"巴林右旗",1504,15,"Ba Lin You Qi"
150424,"林西县",1504,15,"Lin Xi County"
150425,"克什克腾旗",1504,15,"Ke Shi Ke Teng Qi"
150426,"翁牛特旗",1504,15,"Weng Niu Te Qi"
150428,"喀喇沁旗",1504,15,"Ke La Qin Qi"
150429,"宁城县",1504,15,"Ning Cheng County"
150430,"敖汉旗",1504,15,"Ao Han Qi"
150502,"科尔沁区",1505,15,"Ke Er Qin District"
150521,"科尔沁左翼中旗",1505,15,"Ke Er Qin Zuo Yi Zhong Qi"
150522,"科尔沁左翼后旗",1505,15,"Ke Er Qin Zuo Yi Hou Qi"
150523,"开鲁县",1505,15,"Kai Lu County"
150524,"库伦旗",1505,15,"Ku Lun Qi"
150525,"奈曼旗",1505,15,"Nai Man Qi"
150526,"扎鲁特旗",1505,15,"Zha Lu Te Qi"
150581,"霍林郭勒市",1505,15,"Huo Lin Guo Le City"
150602,"东胜区",1506,15,"Dong Sheng District"
150603,"康巴什区",1506,15,"Kang Ba Shi District"
150621,"达拉特旗",1506,15,"Da La Te Qi"
150622,"准格尔旗",1506,15,"Zhun Ge Er Qi"
150623,"鄂托克前旗",1506,15,"E Tuo Ke Qian Qi"
150624,"鄂托克旗",1506,15,"E Tuo Ke Qi"
150625,"杭锦旗",1506,15,"Hang Jin Qi"
150626,"乌审旗",1506,15,"Wu Shen Qi"
150627,"伊金霍洛旗",1506,15,"Yi Jin Huo Luo Qi"
150702,"海拉尔区",1507,15,"Hai La Er District"
150703,"扎赉诺尔区",1507,15,"Zha Lai Nuo Er District"
150721,"阿荣旗",1507,15,"A Rong Qi"
150722,"莫力达瓦达斡尔族自治旗",1507,15,"Mo Li Da Wa Da Wo Er Zu Zi Zhi Qi"
150723,"鄂伦春自治旗",1507,15,"E Lun Chun Zi Zhi Qi"
150724,"鄂温克族自治旗",1507,15,"E Wen Ke Zu Zi Zhi Qi"
150725,"陈巴尔虎旗",1507,15,"Chen Ba Er Hu Qi"
150726,"新巴尔虎左旗",1507,15,"Xin Ba Er Hu Zuo Qi"
150727,"新巴尔虎右旗",1507,15,"Xin Ba Er Hu You Qi"
150782,"牙克石市",1507,15,"Ya Ke Shi City"
