code,name,en
11,"北京","Bei Jing"
12,"天津","Tian Jin"
13,"河北省","He Bei Province"
14,"山西省","Shan Xi Province"
15,"内蒙古自治区","Nei Meng Gu Autonomous Region"
21,"辽宁省","Liao Ning Province"
22,"吉林省","Ji Lin Province"
23,"黑龙江省","Hei Long Jiang Province"
31,"上海","Shang Hai"
32,"江苏省","Jiang Su Province"
33,"浙江省","Zhe Jiang Province"
34,"安徽省","An Hui Province"
35,"福建省","Fu Jian Province"
36,"江西省","Jiang Xi Province"
37,"山东省","Shan Dong Province"
41,"河南省","He Nan Province"
42,"湖北省","Hu Bei Province"
43,"湖南省","Hu Nan Province"
44,"广东省","Guang Dong Province"
45,"广西壮族自治区","Guang Xi Zhuang Zu Autonomous Region"
46,"海南省","Hai Nan Province"
50,"重庆","Chong Qing"
51,"四川省","Si Chuan Province"
52,"贵州省","Gui Zhou Province"
53,"云南省","Yun Nan Province"
54,"西藏自治区","Xi Zang Autonomous Region"
61,"陕西省","Shan Xi Province"
62,"甘肃省","Gan Su Province"
63,"青海省","Qing Hai Province"
64,"宁夏回族自治区","Ning Xia Hui Zu Autonomous Region"
65,"新疆维吾尔自治区","Xin Jiang Wei Wu Er Autonomous Region"
