code,name,areaCode,provinceCode,cityCode,en
110101001,"东华门街道",110101,11,1101,"Dong Hua Men Jie Dao"
110101002,"景山街道",110101,11,1101,"Jing Shan Jie Dao"
110101003,"交道口街道",110101,11,1101,"Jiao Dao Kou Jie Dao"
110101004,"安定门街道",110101,11,1101,"An Ding Men Jie Dao"
110101005,"北新桥街道",110101,11,1101,"Bei Xin Qiao Jie Dao"
110101006,"东四街道",110101,11,1101,"Dong Si Jie Dao"
110101007,"朝阳门街道",110101,11,1101,"Zhao Yang Men Jie Dao"
110101008,"建国门街道",110101,11,1101,"Jian Guo Men Jie Dao"
110101009,"东直门街道",110101,11,1101,"Dong Zhi Men Jie Dao"
110101010,"和平里街道",110101,11,1101,"He Ping Li Jie Dao"
110101011,"前门街道",110101,11,1101,"Qian Men Jie Dao"
110101012,"崇文门外街道",110101,11,1101,"Chong Wen Men Wai Jie Dao"
110101013,"东花市街道",110101,11,1101,"Dong Hua Shi Jie Dao"
110101014,"龙潭街道",110101,11,1101,"Long Tan Jie Dao"
110101015,"体育馆路街道",110101,11,1101,"Ti Yu Guan Lu Jie Dao"
110101016,"天坛街道",110101,11,1101,"Tian Tan Jie Dao"
110101017,"永定门外街道",110101,11,1101,"Yong Ding Men Wai Jie Dao"
110102001,"西长安街街道",110102,11,1101,"Xi Chang An Jie Jie Dao"
110102003,"新街口街道",110102,11,1101,"Xin Jie Kou Jie Dao"
110102007,"月坛街道",110102,11,1101,"Yue Tan Jie Dao"
110102009,"展览路街道",110102,11,1101,"Zhan Lan Lu Jie Dao"
110102010,"德胜街道",110102,11,1101,"De Sheng Jie Dao"
110102011,"金融街街道",110102,11,1101,"Jin Rong Jie Jie Dao"
110102012,"什刹海街道",110102,11,1101,"Shi Cha Hai Jie Dao"
110102013,"大栅栏街道",110102,11,1101,"Da Zha Lan Jie Dao"
110102014,"天桥街道",110102,11,1101,"Tian Qiao Jie Dao"
110102015,"椿树街道",110102,11,1101,"Chun Shu Jie Dao"
110102016,"陶然亭街道",110102,11,1101,"Tao Ran Ting Jie Dao"
110102017,"广安门内街道",110102,11,1101,"Guang An Men Nei Jie Dao"
110102018,"牛街街道",110102,11,1101,"Niu Jie Jie Dao"
110102019,"白纸坊街道",110102,11,1101,"Bai Zhi Fang Jie Dao"
110102020,"广安门外街道",110102,11,1101,"Guang An Men Wai Jie Dao"
110105001,"建外街道",110105,11,1101,"Jian Wai Jie Dao"
110105002,"朝外街道",110105,11,1101,"Zhao Wai Jie Dao"
110105003,"呼家楼街道",110105,11,1101,"Hu Jia Lou Jie Dao"
110105004,"三里屯街道",110105,11,1101,"San Li Tun Jie Dao"
110105005,"左家庄街道",110105,11,1101,"Zuo Jia Zhuang Jie Dao"
110105006,"香河园街道",110105,11,1101,"Xiang He Yuan Jie Dao"
110105007,"和平街街道",110105,11,1101,"He Ping Jie Jie Dao"
110105008,"安贞街道",110105,11,1101,"An Zhen Jie Dao"
110105009,"亚运村街道",110105,11,1101,"Ya Yun Cun Jie Dao"
110105010,"小关街道",110105,11,1101,"Xiao Guan Jie Dao"
110105011,"酒仙桥街道",110105,11,1101,"Jiu Xian Qiao Jie Dao"
110105012,"麦子店街道",110105,11,1101,"Mai Zi Dian Jie Dao"
110105013,"团结湖街道",110105,11,1101,"Tuan Jie Hu Jie Dao"
110105014,"六里屯街道",110105,11,1101,"Liu Li Tun Jie Dao"
110105015,"八里庄街道",110105,11,1101,"Ba Li Zhuang Jie Dao"
110105016,"双井街道",110105,11,1101,"Shuang Jing Jie Dao"
110105017,"劲松街道",110105,11,1101,"Jing Song Jie Dao"
110105018,"潘家园街道",110105,11,1101,"Pan Jia Yuan Jie Dao"
110105019,"垡头街道",110105,11,1101,"Fa Tou Jie Dao"
110105021,"南磨房地区",110105,11,1101,"Nan Mo Fang Di Qu"
110105022,"高碑店地区",110105,11,1101,"Gao Bei Dian Di Qu"
110105023,"将台地区",110105,11,1101,"Jiang Tai Di Qu"
110105024,"太阳宫地区",110105,11,1101,"Tai Yang Gong Di Qu"
110105025,"大屯街道",110105,11,1101,"Da Tun Jie Dao"
110105026,"望京街道",110105,11,1101,"Wang Jing Jie Dao"
110105027,"小红门地区",110105,11,1101,"Xiao Hong Men Di Qu"
110105028,"十八里店地区",110105,11,1101,"Shi Ba Li Dian Di Qu"
110105029,"平房地区",110105,11,1101,"Ping Fang Di Qu"
110105030,"东风地区",110105,11,1101,"Dong Feng Di Qu"
110105031,"奥运村街道",110105,11,1101,"Ao Yun Cun Jie Dao"
110105032,"来广营地区",110105,11,1101,"Lai Guang Ying Di Qu"
110105033,"常营地区",110105,11,1101,"Chang Ying Di Qu"
110105034,"三间房地区",110105,11,1101,"San Jian Fang Di Qu"
110105035,"管庄地区",110105,11,1101,"Guan Zhuang Di Qu"
110105036,"金盏地区",110105,11,1101,"Jin Zhan Di Qu"
110105037,"孙河地区",110105,11,1101,"Sun He Di Qu"
110105038,"崔各庄地区",110105,11,1101,"Cui Ge Zhuang Di Qu"
110105039,"东坝地区",110105,11,1101,"Dong Ba Di Qu"
110105040,"黑庄户地区",110105,11,1101,"Hei Zhuang Hu Di Qu"
